api,variant,k,calls,ns_per_call,e2e_ns,hf_ns,used,t_api_ns,cost_proposed,cost_current,size_bytes,env_ns_min,env_ns_median,exec_ns_min,exec_ns_median,open_exec_ns_mean,exec_count,notes
hook_param_set,"K=16/exec (cap)",1,16,174.375,877.865006,354.911,HF,354.911,93,370,0,516416,568729,34333,38812,40029.2,1,"HF (E2E noisy); E2E/HF ratio 2.473482"
meta_slot,"K=200/exec, weak/AAW pass",1,202,71.7822,,252.318,HF,252.318,67,220,0,661917,696312,147083,157584,155879,2,"HF (capped/one-shot)"
prepare,"min Payment spec",1,300,28522.9,28937.778735,28703.5,E2E,28937.8,7600,36000,270,9.61117e+06,9.81113e+06,8.84446e+06,9.06988e+06,9.16492e+06,1,"reference size (minimal Payment)"
prepare,"1KiB ttINVOKE+sfBlob",1,301,35331.7,36256.113490,35512.2,E2E,36256.1,9500,36000,1024,1.1587e+07,1.17219e+07,1.08782e+07,1.09955e+07,1.10241e+07,1,"1KiB sfBlob variant (Phase 3 item 3)"
etxn_fee_base,"1KiB ttINVOKE+sfBlob",1,302,3628.23,3995.080219,3808.76,HF,3808.76,1000,4600,1024,1.847e+06,1.96429e+06,1.30738e+06,1.35213e+06,1.35035e+06,1,"HF (E2E noisy); 1KiB sfBlob variant, direct call (not via emit) -- reference (min Payment) value comes from emit_min_k200's loop, see below"
ledger_keylet,"full range",1,300,241.26,502.172564,421.796,HF,421.796,120,300,0,758500,806062,267958,290417,290204,1,"HF (E2E noisy); lower bound: near-empty JTX ledger (design review F3)"
state,"4KiB (ExtendedHookState)",1,200,2348.13,3284.175650,2528.67,E2E,3284.18,860,1700,4096,1.23571e+06,1.26352e+06,631458,666875,497654,1,""
state_set,"4KiB (ExtendedHookState)",1,200,725.205,12549.558890,4039.49,HF,4039.49,1100,900,4096,3.13417e+06,3.3116e+06,299583,327146,330892,1,"HF (ledger-write cost reported separately); E2E/HF ratio 3.106718"
state_foreign,"read 32B (no grant needed)",1,200,1699.4,2351.532933,1879.94,HF,1879.94,500,1700,0,1.06192e+06,1.121e+06,500458,536480,445367,1,"HF (E2E noisy)"
state_foreign,"read 256B (no grant needed)",1,200,1703.7,2293.194045,1884.24,HF,1884.24,500,1700,0,1.03617e+06,1.09873e+06,498750,533667,446504,1,"HF (E2E noisy)"
