api,variant,k,calls,ns_per_call,e2e_ns,hf_ns,used,t_api_ns,cost_proposed,cost_current,size_bytes,env_ns_min,env_ns_median,exec_ns_min,exec_ns_median,open_exec_ns_mean,exec_count,notes
float_root,"K=4",4,1200,125.487,399.400905,391.949,HF,391.949,70,190,0,1.44946e+06,1.55238e+06,661483,673120,670904,1,"HF (E2E noisy)"
float_set,"K=4",4,1200,173.401,386.827757,439.863,HF,439.863,79,110,0,1.45419e+06,1.59238e+06,710481,730268,726807,1,"HF (E2E noisy)"
float_sto,"XRP",4,1200,87.2425,364.078796,353.704,HF,353.704,64,230,0,1.43697e+06,1.58648e+06,665327,676619,677209,1,"HF (E2E noisy)"
float_sto,"IOU",4,1200,91.5167,335.324166,357.979,HF,357.979,64,230,0,1.41093e+06,1.52065e+06,664121,682398,682254,1,"HF (E2E noisy)"
float_sto,"short",4,1200,86.5592,365.968610,353.021,HF,353.021,63,230,0,1.45166e+06,1.58571e+06,662645,677386,680945,1,"HF (E2E noisy)"
float_sto_set,"K=4",4,1200,74.235,332.595349,340.697,HF,340.697,61,140,0,1.36056e+06,1.5138e+06,609368,617076,610758,1,"HF (E2E noisy)"
trace,"32B",4,1200,267.612,541.307906,534.074,HF,534.074,96,100,0,1.65699e+06,1.7369e+06,859692,882346,880683,1,"HF (E2E noisy); default journal level: early-returns on !j.trace() (design review B)"
trace,"1KiB hex",4,1200,1085.95,1353.049572,1352.41,HF,1352.41,250,100,0,2.61675e+06,2.7751e+06,1.85757e+06,1.88382e+06,1.89233e+06,1,"HF (E2E noisy)"
trace_num,"K=4",4,1200,262.018,519.343714,528.48,HF,528.48,95,100,0,1.61024e+06,1.72698e+06,834482,856246,846176,1,"HF (E2E noisy)"
trace_float,"K=4",4,1200,311.161,586.805707,577.623,HF,577.623,110,100,0,1.68788e+06,1.80492e+06,904899,908725,917572,1,"HF (E2E noisy)"
otxn_param,"32B",4,1201,154.831,403.821621,421.293,HF,421.293,76,830,0,1.47713e+06,1.55247e+06,705955,719960,721280,1,"HF (E2E noisy)"
otxn_param,"256B",4,1201,161.491,395.291992,427.953,HF,427.953,77,830,0,1.48043e+06,1.6831e+06,719843,726722,733082,1,"HF (E2E noisy)"
hook_param,"32B",4,1200,102.105,356.181807,368.567,HF,368.567,66,510,32,1.43953e+06,1.53832e+06,642651,656964,658729,1,"HF (E2E noisy)"
hook_param,"256B",4,1200,105.886,378.383658,372.348,HF,372.348,67,510,256,1.44796e+06,1.57301e+06,645740,667166,666179,1,"HF (E2E noisy)"
otxn_field,"sfAccount(20B)",1,300,103.093,273.446158,369.555,HF,369.555,66,460,20,1.03961e+06,1.17341e+06,286681,289670,296933,1,"HF (E2E noisy); E2E/HF ratio 0.739933"
otxn_field,"1KiB Blob",1,300,131.807,256.557269,398.269,HF,398.269,72,460,1024,1.08537e+06,1.15014e+06,294877,299418,305062,1,"HF (E2E noisy); E2E/HF ratio 0.644182"
otxn_field,"16KiB Blob",1,300,683.58,882.146158,950.042,HF,950.042,170,460,16384,1.58512e+06,1.65452e+06,476782,489685,501744,1,"HF (E2E noisy)"
otxn_slot,"small tx",1,300,361.22,588.838404,627.682,HF,627.682,120,310,150,1.13997e+06,1.30309e+06,364279,378866,385485,1,"HF (E2E noisy)"
otxn_slot,"1KiB Blob",1,300,392.407,545.364330,658.869,HF,658.869,120,310,1024,1.1666e+06,1.28297e+06,385659,394352,393210,1,"HF (E2E noisy)"
otxn_slot,"16KiB Blob",1,300,670.027,938.860627,936.489,HF,936.489,170,310,16384,1.5654e+06,1.60196e+06,467405,477983,485750,1,"HF (E2E noisy)"
slot,"1KiB Blob",1,300,402.98,836.453566,669.442,HF,669.442,120,1400,1024,1.23705e+06,1.37694e+06,383607,394407,400206,1,"HF (E2E noisy)"
slot,"16KiB Blob",1,300,1041.58,1240.890603,1308.04,HF,1308.04,240,1400,16384,1.70095e+06,1.74243e+06,599238,615386,614564,1,"HF (E2E noisy)"
slot_size,"K=1",1,300,252.447,518.816182,518.909,HF,518.909,93,330,0,1.11673e+06,1.22832e+06,332626,336156,345984,1,"HF (E2E noisy)"
slot_type,"flags=0",1,300,74.65,293.671911,341.112,HF,341.112,61,210,0,1.03573e+06,1.14572e+06,277486,283669,285121,1,"HF (E2E noisy)"
slot_type,"flags=1",1,300,96.2133,313.931170,362.675,HF,362.675,65,210,0,1.07058e+06,1.15882e+06,286107,302119,297533,1,"HF (E2E noisy)"
slot_count,"3 Memos",1,300,78.4467,286.453219,344.909,HF,344.909,62,230,0,1.04601e+06,1.14431e+06,277967,292095,287167,1,"HF (E2E noisy)"
slot_subfield,"sfAccount",1,300,92.74,211.105417,359.202,HF,359.202,65,220,0,1.03539e+06,1.15504e+06,283688,298826,290843,1,"HF (E2E noisy); E2E/HF ratio 0.587707"
slot_float,"sfAmount (own tx, Payment)",1,300,138.947,337.479145,405.409,HF,405.409,73,150,0,1.14057e+06,1.26507e+06,295727,302429,309745,1,"HF (E2E noisy)"
slot_subarray,"Memos[0]",1,300,87.6767,309.812825,354.139,HF,354.139,64,330,0,1.07776e+06,1.16498e+06,283191,292624,298667,1,"HF (E2E noisy)"
slot_set,"34B keylet",1,300,1535.55,1866.790603,1802.02,HF,1802.02,330,350,0,1.53626e+06,1.68074e+06,735218,754024,330975,1,"HF (E2E noisy)"
slot_clear,"K=1",1,300,202.93,377.300520,469.392,HF,469.392,84,230,0,1.63808e+06,1.79055e+06,857187,873638,438035,1,"HF (E2E noisy)"
sto_validate,"~31B",1,300,178.523,405.105244,444.985,HF,444.985,80,350,31,1.08349e+06,1.19264e+06,312233,320498,327654,1,"HF (E2E noisy)"
sto_validate,"~tx (250B)",1,300,408.967,634.938751,675.429,HF,675.429,130,350,250,1.16168e+06,1.30154e+06,387751,395926,396869,1,"HF (E2E noisy)"
sto_validate,"~4KiB (Blob)",1,300,501.123,833.594306,767.585,HF,767.585,140,350,4096,1.29104e+06,1.42624e+06,415627,427890,437006,1,"HF (E2E noisy)"
sto_subfield,"~31B",1,300,114.33,361.520925,380.792,HF,380.792,68,340,31,1.08679e+06,1.239e+06,300934,313862,314252,1,"HF (E2E noisy)"
sto_subfield,"~tx (250B)",1,300,273.373,513.494480,539.835,HF,539.835,97,340,250,1.10771e+06,1.19203e+06,346228,356362,354842,1,"HF (E2E noisy)"
sto_subfield,"~4KiB (Blob)",1,300,378.683,529.242628,645.145,HF,645.145,120,340,4096,1.23596e+06,1.40208e+06,377857,393896,397682,1,"HF (E2E noisy)"
sto_subarray,"~tx (250B)",1,300,165.21,346.994480,431.672,HF,431.672,78,290,250,1.13884e+06,1.33742e+06,325234,328654,336171,1,"HF (E2E noisy); no small-object point (deferred); single-point table value"
sto_subarray,"3 Memos, one ~1KiB",1,300,175.737,791.642628,442.199,HF,442.199,79,290,1024,1.40326e+06,1.45246e+06,468606,489170,501642,1,"HF (E2E noisy); E2E/HF ratio 1.790242"
sto_emplace,"~31B",1,300,219.837,447.421618,486.299,HF,486.299,87,980,31,1.10869e+06,1.22275e+06,350429,362205,360490,1,"HF (E2E noisy)"
sto_emplace,"~tx (250B)",1,300,291.53,751.184061,557.992,HF,557.992,100,980,250,1.20061e+06,1.25747e+06,366362,379792,385857,1,"HF (E2E noisy); E2E/HF ratio 1.346227"
sto_emplace,"~4KiB (Blob)",1,300,483.357,738.647024,749.819,HF,749.819,140,980,4096,1.31014e+06,1.45849e+06,428778,445170,447856,1,"HF (E2E noisy)"
sto_erase,"~31B",1,300,152.897,467.562012,419.359,HF,419.359,75,970,31,1.1038e+06,1.20092e+06,319057,331206,329536,1,"HF (E2E noisy)"
sto_erase,"~tx (250B)",1,300,195.817,387.031863,462.279,HF,462.279,83,970,250,1.09436e+06,1.2875e+06,330090,336248,341900,1,"HF (E2E noisy)"
sto_erase,"~4KiB (Blob)",1,300,370.963,572.824456,637.425,HF,637.425,120,970,4096,1.2711e+06,1.38632e+06,396628,405962,410359,1,"HF (E2E noisy)"
ledger_nonce,"K=200/exec",1,200,264.25,393.797837,530.712,HF,530.712,95,170,0,989541,1.04894e+06,237255,241157,246078,1,"HF (E2E noisy); E2E/HF ratio 0.742018"
etxn_nonce,"K=200/exec",1,200,349.62,540.136726,616.082,HF,616.082,110,230,0,1.01489e+06,1.11953e+06,256499,260102,267007,1,"HF (E2E noisy)"
util_verify,"ed25519 (passing)",1,301,23119.3,24152.353392,23385.7,E2E,24152.4,4400,24000,0,8.25618e+06,8.38501e+06,7.25367e+06,7.27227e+06,7.26884e+06,1,""
util_verify,"secp256k1 (passing)",1,301,22194.1,23211.923763,22460.5,E2E,23211.9,4200,24000,0,7.93317e+06,8.04314e+06,6.96803e+06,6.98183e+06,6.97201e+06,1,""
hook_param_set,"K=16/exec (cap)",1,16,247.188,1317.829853,513.649,HF,513.649,92,370,0,836501,868712,57081,59535,62481.4,1,"HF (E2E noisy); E2E/HF ratio 2.565621"
meta_slot,"K=200/exec, weak/AAW pass",1,202,82.8812,,349.343,HF,349.343,63,220,0,1.04487e+06,1.11689e+06,201962,208945,214469,2,"HF (capped/one-shot)"
prepare,"min Payment spec",1,300,27336,27745.790642,27602.5,E2E,27745.8,5000,36000,270,9.57294e+06,9.78587e+06,8.61188e+06,8.63637e+06,8.64455e+06,1,"reference size (minimal Payment)"
prepare,"1KiB ttINVOKE+sfBlob",1,301,31481.9,32714.949342,31748.3,E2E,32714.9,5900,36000,1024,1.0868e+07,1.10077e+07,9.82653e+06,9.87075e+06,9.81958e+06,1,"1KiB sfBlob variant (Phase 3 item 3)"
etxn_fee_base,"1KiB ttINVOKE+sfBlob",1,302,4286.75,4354.452700,4553.21,HF,4553.21,820,4600,1024,2.34979e+06,2.5186e+06,1.576e+06,1.60549e+06,1.6097e+06,1,"HF (E2E noisy); 1KiB sfBlob variant, direct call (not via emit) -- reference (min Payment) value comes from emit_min_k200's loop, see below"
ledger_keylet,"full range",1,300,477.84,694.168900,744.302,HF,744.302,140,300,0,1.17886e+06,1.27521e+06,419368,421743,425086,1,"HF (E2E noisy); lower bound: near-empty JTX ledger (design review F3)"
state,"4KiB (ExtendedHookState)",1,200,3056.78,3992.168660,3323.25,E2E,3992.17,720,1700,4096,1.77043e+06,1.82623e+06,850611,868174,701551,1,""
state_set,"4KiB (ExtendedHookState)",1,200,913.07,16154.063624,4989.58,HF,4989.58,900,900,4096,4.2173e+06,4.32823e+06,412110,433790,409672,1,"HF (ledger-write cost reported separately); E2E/HF ratio 3.237559"
state_foreign,"read 32B (no grant needed)",1,200,2060.43,2740.726760,2326.9,HF,2326.9,420,1700,0,1.51048e+06,1.66008e+06,641632,661026,557796,1,"HF (E2E noisy)"
state_foreign,"read 256B (no grant needed)",1,200,2112.26,2846.443427,2378.72,HF,2378.72,430,1700,0,1.52345e+06,1.62979e+06,655780,677985,567716,1,"HF (E2E noisy)"
state_foreign_set,"write, K=1 (first call, grant scan)",1,1,16720,,34093.5,HF,34093.5,6100,3400,0,832475,946870,57005,59524.5,52067.3,1,"HF (capped/one-shot)"
state_foreign_set,"write, K=200 (grant cached after 1st)",1,200,759.24,7924.732316,3781.62,HF,3781.62,680,3400,0,2.55594e+06,2.604e+06,373105,375787,369261,1,"HF (ledger-write cost reported separately); E2E/HF ratio 2.095591"
emit,"K=200/exec, min Payment, own nonce+details+fee_base",1,200,8979.61,,9246.08,HF,9246.08,1700,8700,0,2.09074e+07,2.17268e+07,3.51629e+06,3.53099e+06,4.72007e+06,1,"HF (undecomposable body)"
etxn_details,"inside emit_min_k200's loop",1,200,508.84,,775.302,HF,775.302,140,470,0,2.11192e+07,2.14635e+07,3.50106e+06,3.55027e+06,4.96084e+06,1,"HF (undecomposable body)"
etxn_fee_base,"inside emit_min_k200's loop",1,200,4281.96,,4548.42,HF,4548.42,820,4600,0,2.12486e+07,2.19514e+07,3.48924e+06,3.54193e+06,4.71824e+06,1,"HF (undecomposable body)"
emit,"K=200/exec, 1KiB ttINVOKE+sfBlob",1,200,9580.68,,9847.14,HF,9847.14,1800,8700,1024,2.54265e+07,2.66147e+07,3.55901e+06,3.59476e+06,4.77728e+06,1,"HF (undecomposable body)"
hook_skip,"alternating scan/erase (2-hook chain)",1,300,117.73,377.994826,384.192,HF,384.192,69,170,0,1.18716e+06,1.2562e+06,321248,350082,340060,2,"HF (E2E noisy)"
xpop_slot,"K=100/exec, min over 2 rep(s) (ttIMPORT, one fixture per fresh Env)",1,100,28516.6,,28783.1,HF,28783.1,5200,37000,0,0,0,0,0,0,0,"HF (capped/one-shot): anti-replay caps reps to the number of distinct fixtures, no N1/N2 E2E"
util_keylet,"AMM (own Env, featureAMM added)",4,1201,306.694,557.314154,573.156,HF,573.156,110,230,0,1.59672e+06,1.74128e+06,944077,956709,1.06817e+06,1,"HF (E2E noisy)"
util_keylet,"DID (own Env, featureDID added)",4,1200,261.144,509.079895,527.606,HF,527.606,95,230,0,1.53702e+06,1.6026e+06,892354,906878,906316,1,"HF (E2E noisy)"
etxn_reserve,"direct (1st call)",1,1,217,,483.462,HF,483.462,87,150,0,0,0,0,0,0,0,"HF (capped/one-shot): error path after 1st call is trivial (design review B)"
hook_again,"direct (1st call, strong pass)",1,1,183,,449.462,HF,449.462,81,260,0,0,0,0,0,0,0,"HF (capped/one-shot): error path after 1st call is trivial (design review B)"
accept,"direct",1,1,191.165,,457.627,HF,457.627,82,150,0,0,0,0,0,0,0,"HF (capped/one-shot)"
rollback,"direct",1,1,158.995,,425.457,HF,425.457,76,180,0,0,0,0,0,0,0,"HF (capped/one-shot)"
